DrainI(1),DrainV(1),SourceI(1),GateV(1),DrainI(2),DrainV(2),SourceI(2),GateV(2),DrainI(3),DrainV(3),SourceI(3),GateV(3),DrainI(4),DrainV(4),SourceI(4),GateV(4),DrainI(5),DrainV(5),SourceI(5),GateV(5),DrainI(6),DrainV(6),SourceI(6),GateV(6),DrainI(7),DrainV(7),SourceI(7),GateV(7),DrainI(8),DrainV(8),SourceI(8),GateV(8)
644.7297E-15,550.0488E-3,-646.9281E-15,-684.7419E-6,126.7613E-13,550.0504E-3,-128.2346E-13,-998.9864E-2,134.1712E-12,550.0515E-3,-134.4604E-12,-199.9244E-1,837.6228E-12,550.0509E-3,-834.7835E-12,-299.9612E-1,463.4933E-11,550.0487E-3,-463.3320E-11,-399.8975E-1,282.6517E-10,550.0473E-3,-282.6859E-10,-499.9610E-1,621.9366E-10,550.0515E-3,-621.3069E-10,-599.9665E-1,101.2912E-9,550.0472E-3,-101.2299E-9,-699.9252E-1
589.4977E-15,500.0167E-3,-606.0804E-15,-664.5294E-6,114.2969E-13,500.0175E-3,-112.3519E-13,-998.9966E-2,116.8358E-12,500.0176E-3,-117.0555E-12,-199.9252E-1,751.7380E-12,500.0172E-3,-748.6577E-12,-299.9606E-1,443.4382E-11,500.0145E-3,-443.1509E-11,-399.8974E-1,268.3256E-10,500.0286E-3,-268.1859E-10,-499.9613E-1,617.3691E-10,500.0160E-3,-616.7890E-10,-599.9661E-1,912.1505E-10,500.0139E-3,-911.5789E-10,-699.9242E-1
513.1799E-15,450.0243E-3,-513.2427E-15,-624.0988E-6,102.1769E-13,450.0253E-3,-102.2055E-13,-998.9794E-2,103.9697E-12,450.0258E-3,-103.6305E-12,-199.9247E-1,711.8254E-12,450.0247E-3,-708.7984E-12,-299.9605E-1,457.9557E-11,450.0243E-3,-457.6323E-11,-399.8975E-1,249.6524E-10,450.0326E-3,-249.6326E-10,-499.9609E-1,572.7559E-10,450.0272E-3,-572.2063E-10,-599.9649E-1,904.2839E-10,450.0235E-3,-903.6766E-10,-699.9237E-1
437.9199E-15,399.9903E-3,-437.5488E-15,-694.8505E-6,854.7670E-14,399.9905E-3,-866.0319E-14,-998.9784E-2,926.5006E-13,399.9902E-3,-925.0178E-13,-199.9248E-1,642.3849E-12,399.9913E-3,-639.2425E-12,-299.9602E-1,404.1568E-11,399.9872E-3,-403.9148E-11,-399.8973E-1,252.3670E-10,399.9975E-3,-252.3886E-10,-499.9604E-1,577.9201E-10,399.9912E-3,-577.2188E-10,-599.9651E-1,829.0812E-10,399.9928E-3,-828.4292E-10,-699.9241E-1
383.7844E-15,350.0108E-3,-410.7573E-15,-603.8863E-6,709.9824E-14,350.0107E-3,-710.7142E-14,-998.9875E-2,785.9041E-13,350.0120E-3,-792.7891E-13,-199.9252E-1,571.5617E-12,350.0109E-3,-568.4738E-12,-299.9607E-1,367.1712E-11,350.0138E-3,-367.1024E-11,-399.8985E-1,228.2671E-10,350.0157E-3,-228.2771E-10,-499.9612E-1,489.1657E-10,350.0084E-3,-488.5829E-10,-599.9651E-1,748.4697E-10,350.0115E-3,-747.8769E-10,-699.9245E-1
345.1198E-15,299.9997E-3,-338.8409E-15,-502.8136E-6,597.4241E-14,300.0001E-3,-607.7220E-14,-998.9905E-2,667.0455E-13,300.0012E-3,-673.0518E-13,-199.9244E-1,511.6937E-12,299.9991E-3,-508.6512E-12,-299.9606E-1,342.8910E-11,299.9977E-3,-342.5830E-11,-399.8978E-1,214.7833E-10,300.0095E-3,-214.8851E-10,-499.9612E-1,445.9720E-10,299.9998E-3,-445.2951E-10,-599.9656E-1,659.7882E-10,299.9996E-3,-659.2861E-10,-699.9248E-1
243.0665E-15,250.0097E-3,-254.5199E-15,-694.8505E-6,476.7789E-14,250.0098E-3,-482.0291E-14,-998.9814E-2,526.5420E-13,250.0108E-3,-526.9356E-13,-199.9243E-1,458.9528E-12,250.0112E-3,-455.9427E-12,-299.9604E-1,333.3215E-11,250.0155E-3,-333.0060E-11,-399.8978E-1,199.9205E-10,250.0099E-3,-199.7775E-10,-499.9610E-1,427.6657E-10,250.0050E-3,-427.5426E-10,-599.9659E-1,529.6453E-10,250.0121E-3,-529.0998E-10,-699.9242E-1
205.0972E-15,200.0112E-3,-210.8772E-15,-583.6710E-6,357.9953E-14,200.0112E-3,-360.0048E-14,-998.9794E-2,431.6756E-13,200.0123E-3,-432.3429E-13,-199.9247E-1,396.6631E-12,200.0118E-3,-393.9545E-12,-299.9599E-1,295.6225E-11,200.0136E-3,-295.3359E-11,-399.8983E-1,169.6857E-10,200.0122E-3,-169.6308E-10,-499.9611E-1,342.9949E-10,200.0140E-3,-342.9045E-10,-599.9656E-1,404.9513E-10,200.0119E-3,-404.4663E-10,-699.9240E-1
154.1425E-15,149.9753E-3,-149.5920E-15,-543.2414E-6,253.2463E-14,149.9749E-3,-259.2725E-14,-998.9945E-2,343.8134E-13,149.9781E-3,-344.2209E-13,-199.9253E-1,267.1196E-12,149.9761E-3,-265.2943E-12,-299.9601E-1,255.3897E-11,149.9716E-3,-255.1196E-11,-399.8980E-1,130.9157E-10,149.9777E-3,-130.9098E-10,-499.9604E-1,252.3218E-10,149.9822E-3,-252.2845E-10,-599.9665E-1,305.1920E-10,149.9781E-3,-305.1696E-10,-699.9240E-1
100.7011E-15,999.8753E-4,-992.7579E-16,-654.4208E-6,171.0889E-14,999.8719E-4,-177.0947E-14,-998.9824E-2,216.1974E-13,999.8865E-4,-215.7746E-13,-199.9249E-1,201.0553E-12,999.8850E-4,-200.7115E-12,-299.9602E-1,189.4477E-11,999.8816E-4,-189.1287E-11,-399.8975E-1,905.0297E-11,999.8958E-4,-904.4481E-11,-499.9615E-1,163.7006E-10,999.9496E-4,-163.6481E-10,-599.9657E-1,197.9694E-10,999.9110E-4,-197.9158E-10,-699.9239E-1
455.6146E-16,499.7918E-4,-493.5245E-16,-664.5294E-6,876.6819E-15,499.7864E-4,-907.9063E-15,-998.9845E-2,117.1271E-13,499.7987E-4,-118.5456E-13,-199.9261E-1,113.4025E-12,499.7997E-4,-113.0405E-12,-299.9603E-1,985.5027E-12,499.7940E-4,-982.2086E-12,-399.8977E-1,412.3656E-11,499.8082E-4,-411.9973E-11,-499.9607E-1,760.3232E-11,499.7869E-4,-759.8190E-11,-599.9657E-1,955.3361E-11,499.8133E-4,-954.8417E-11,-699.9230E-1
-276.2690E-17,226.6420E-7,-416.7449E-17,-704.9572E-6,-277.3128E-16,232.3666E-7,-188.2247E-16,-998.9835E-2,145.9580E-15,239.5223E-7,-171.5628E-15,-199.9262E-1,-731.6359E-16,240.6553E-7,812.2656E-16,-299.9609E-1,126.0152E-15,231.1143E-7,-918.3994E-16,-399.8985E-1,299.4494E-14,228.7291E-7,-296.9337E-14,-499.9596E-1,553.6841E-14,243.9946E-7,-545.1292E-14,-599.9653E-1,601.6579E-14,234.0959E-7,-586.2033E-14,-699.9238E-1
